"scientific_name";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecies";"author";"TAXON";"COD_TAXON"
"Agrostis L.";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";NA;NA;"L.";"Agrostis";12060
"Agrostis canina L. subsp. granatensis Romero García, Blanca & C.Morales";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"canina";"granatensis";"Romero García, Blanca & C.Morales";"Agrostis canina subsp. granatensis";12061
"Agrostis nevadensis Boiss.";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"nevadensis";NA;"Boiss.";"Agrostis nevadensis";12074
"Anthericum baeticum Steud.";"Plantae";"Magnoliophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Anthericum";"baeticum";NA;"Steud.";"Anthericum baeticum";12412
"Arenaria serpyllifolia Guss.";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Arenaria";"serpyllifolia";NA;"Guss.";"Arenaria serpyllifolia";6459
"Arenaria tetraquetra L.";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Arenaria";"tetraquetra";NA;"L.";"Arenaria tetraquetra";6461
"Botrychium lunaria (L.) Sw.";"Plantae";"Pteridophyta";"Psilotopsida";"Ophioglossales";"Ophioglossaceae";"Botrychium";"lunaria";NA;"(L.) Sw.";"Botrychium lunaria";103346
"Bromus L.";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";NA;NA;"L.";"Bromus";12160
"Campanula herminii Hoffmanns. & Link";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Campanulaceae";"Campanula";"herminii";NA;"Hoffmanns. & Link";"Campanula herminii";10176
"Carex L.";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";NA;NA;"L.";"Carex";11634
"Carex capillaris L.";"Plantae";"Magnoliophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"capillaris";NA;"L.";"Carex capillaris";106346
