idGBIF	FECHA	TAXON	COD_TAXON	COTA	ID_PARCELA	ID_VISITA	ID_INVENTARIO	NUM_ESTRCT_FLORALES	NUM_FRUTOS	COBERTURA
BORREG-001-000001-000000002	08/06/2009	Carex nevadensis	11680	Baja	1	1	2	3		
BORREG-001-000001-000000003	08/06/2009	Festuca iberica	11772	Baja	1	1	3	1		
BORREG-001-000001-000000004	08/06/2009	Lotus corniculatus subsp. glacialis	106378	Baja	1	1	4	3		
BORREG-001-000001-000000005	08/06/2009	Nardus stricta	29746	Baja	1	1	5	1158		
BORREG-001-000002-000000006	22/06/2009	Festuca iberica	11772	Baja	1	2	6	5		
BORREG-001-000002-000000007	22/06/2009	Nardus stricta	29746	Baja	1	2	7	481		
BORREG-001-000002-000000008	22/06/2009	Trifolium repens	8049	Baja	1	2	8	6		
BORREG-001-000003-000000009	06/07/2009	Festuca iberica	11772	Baja	1	3	9	1		
BORREG-001-000003-000000010	06/07/2009	Agrostis canina subsp. granatensis	12061	Baja	1	3	10	3		
BORREG-001-000003-000000011	06/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	1	3	11	1		
BORREG-001-000003-000000012	06/07/2009	Nardus stricta	29746	Baja	1	3	12	167		
BORREG-001-000003-000000013	06/07/2009	Trifolium repens	8049	Baja	1	3	13	6		
BORREG-001-000004-000000014	13/07/2009	Agrostis canina subsp. granatensis	12061	Baja	1	4	14	1		
BORREG-001-000004-000000015	13/07/2009	Nardus stricta	29746	Baja	1	4	15	117		
BORREG-001-000004-000000016	13/07/2009	Trifolium pratense	8048	Baja	1	4	16	1		
BORREG-001-000005-000000017	28/07/2009	Nardus stricta	29746	Baja	1	5	17	103		
BORREG-001-000007-000000019	11/08/2009	Nardus stricta	29746	Baja	1	7	19	90		
BORREG-002-000011-000000021	08/06/2009	Scorzoneroides microcephala	10889	Baja	2	11	21	1		
BORREG-002-000011-000000022	08/06/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	11	22	3		
BORREG-002-000011-000000023	08/06/2009	Nardus stricta	29746	Baja	2	11	23	23		
BORREG-002-000012-000000024	22/06/2009	Festuca iberica	11772	Baja	2	12	24	3		
BORREG-002-000012-000000025	22/06/2009	Scorzoneroides	113237	Baja	2	12	25	2		
BORREG-002-000012-000000026	22/06/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	12	26	34		
BORREG-002-000012-000000027	22/06/2009	Nardus stricta	29746	Baja	2	12	27	15		
BORREG-002-000012-000000028	22/06/2009	Trifolium repens	8049	Baja	2	12	28	1		
BORREG-002-000013-000000029	06/07/2009	Agrostis canina subsp. granatensis	12061	Baja	2	13	29	1		
BORREG-002-000013-000000030	06/07/2009	Festuca iberica	11772	Baja	2	13	30	1		
BORREG-002-000013-000000031	06/07/2009	Scorzoneroides	113237	Baja	2	13	31	8		
BORREG-002-000013-000000032	06/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	13	32	9		
BORREG-002-000013-000000033	06/07/2009	Nardus stricta	29746	Baja	2	13	33	6		
BORREG-002-000013-000000034	06/07/2009	Trifolium repens	8049	Baja	2	13	34	4		
BORREG-002-000014-000000036	13/07/2009	Agrostis canina subsp. granatensis	12061	Baja	2	14	36	1		
BORREG-002-000014-000000037	13/07/2009	Scorzoneroides	113237	Baja	2	14	37	3		
BORREG-002-000014-000000038	13/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	14	38	3		
BORREG-002-000014-000000039	13/07/2009	Nardus stricta	29746	Baja	2	14	39	4		
BORREG-002-000014-000000040	13/07/2009	Trifolium repens	8049	Baja	2	14	40	1		
BORREG-002-000014-000000041	13/07/2009	Trifolium pratense	8048	Baja	2	14	41	8		
BORREG-002-000015-000000042	28/07/2009	Euphrasia willkommii	104449	Baja	2	15	42	1		
BORREG-002-000015-000000043	28/07/2009	Scorzoneroides	113237	Baja	2	15	43	5		
BORREG-002-000015-000000044	28/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	15	44	7		
BORREG-002-000015-000000045	28/07/2009	Trifolium repens	8049	Baja	2	15	45	1		
BORREG-002-000017-000000047	11/08/2009	Lotus corniculatus subsp. glacialis	106378	Baja	2	17	47	4		
BORREG-003-000021-000000050	08/06/2009	Festuca iberica	11772	Baja	3	21	50	10		
BORREG-003-000021-000000052	08/06/2009	Nardus stricta	29746	Baja	3	21	52	90		
BORREG-003-000021-000000053	08/06/2009	Phleum brachystachyum subsp. abbreviatum	104846	Baja	3	21	53	4		
BORREG-003-000021-000000054	08/06/2009	Ranunculus demissus	5838	Baja	3	21	54	75		
BORREG-003-000021-000000055	08/06/2009	Veronica nevadensis	106603	Baja	3	21	55	23		
BORREG-003-000022-000000056	22/06/2009	Cerastium alpinum subsp. aquaticum	6520	Baja	3	22	56	3		
BORREG-003-000022-000000057	22/06/2009	Phleum brachystachyum subsp. abbreviatum	104846	Baja	3	22	57	2		
BORREG-003-000022-000000058	22/06/2009	Festuca iberica	11772	Baja	3	22	58	5		
BORREG-003-000022-000000059	22/06/2009	Ranunculus demissus	5838	Baja	3	22	59	20		
BORREG-003-000022-000000060	22/06/2009	Trifolium repens	8049	Baja	3	22	60	15		
BORREG-003-000023-000000061	06/07/2009	Festuca iberica	11772	Baja	3	23	61	1		
BORREG-003-000023-000000062	06/07/2009	Scorzoneroides	113237	Baja	3	23	62	1		
BORREG-003-000023-000000063	06/07/2009	Nardus stricta	29746	Baja	3	23	63	4		
BORREG-003-000023-000000064	06/07/2009	Phleum brachystachyum subsp. abbreviatum	104846	Baja	3	23	64	1		
BORREG-003-000023-000000065	06/07/2009	Ranunculus demissus	5838	Baja	3	23	65	2		
BORREG-003-000023-000000066	06/07/2009	Trifolium repens	8049	Baja	3	23	66	25		
BORREG-003-000024-000000067	13/07/2009	Nardus stricta	29746	Baja	3	24	67	1		
BORREG-003-000024-000000068	13/07/2009	Trifolium repens	8049	Baja	3	24	68	29		
BORREG-003-000025-000000069	28/07/2009	Nardus stricta	29746	Baja	3	25	69	49		
BORREG-003-000025-000000070	28/07/2009	Ranunculus demissus	5838	Baja	3	25	70	1		
BORREG-003-000025-000000071	28/07/2009	Trifolium repens	8049	Baja	3	25	71	8		
BORREG-003-000027-000000074	11/08/2009	Scorzoneroides	113237	Baja	3	27	74	1		
BORREG-003-000027-000000075	11/08/2009	Nardus stricta	29746	Baja	3	27	75	6		
BORREG-004-000031-000000078	08/06/2009	Carex nevadensis	11680	Baja	4	31	78	1		
BORREG-004-000031-000000079	08/06/2009	Carex nigra	11681	Baja	4	31	79	3		
BORREG-004-000031-000000081	08/06/2009	Gentiana sierrae	9240	Baja	4	31	81	25		
BORREG-004-000031-000000082	08/06/2009	Scorzoneroides	113237	Baja	4	31	82	14		
BORREG-004-000031-000000083	08/06/2009	Lotus corniculatus subsp. glacialis	106378	Baja	4	31	83	2		
BORREG-004-000031-000000084	08/06/2009	Nardus stricta	29746	Baja	4	31	84	12		
BORREG-004-000031-000000085	08/06/2009	Plantago nivalis	9819	Baja	4	31	85	2		
BORREG-004-000031-000000086	08/06/2009	Ranunculus demissus	5838	Baja	4	31	86	1		
BORREG-004-000032-000000087	22/06/2009	Luzula campestris	11557	Baja	4	32	87	17		
BORREG-004-000032-000000088	22/06/2009	Juncus articulatus	11518	Baja	4	32	88	10		
BORREG-004-000032-000000089	22/06/2009	Carex nevadensis	11680	Baja	4	32	89	107		
BORREG-004-000032-000000091	22/06/2009	Scorzoneroides	113237	Baja	4	32	91	2		
BORREG-004-000032-000000092	22/06/2009	Lotus corniculatus subsp. glacialis	106378	Baja	4	32	92	1		
BORREG-004-000032-000000093	22/06/2009	Nardus stricta	29746	Baja	4	32	93	12		
BORREG-004-000032-000000094	22/06/2009	Trifolium repens	8049	Baja	4	32	94	13		
BORREG-004-000032-000000095	22/06/2009	Trifolium pratense	8048	Baja	4	32	95	4		
BORREG-004-000033-000000096	07/07/2009	Euphrasia willkommii	104449	Baja	4	33	96	11		
BORREG-004-000033-000000097	07/07/2009	Scorzoneroides	113237	Baja	4	33	97	5		
BORREG-004-000033-000000098	07/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	4	33	98	1		
BORREG-004-000033-000000099	07/07/2009	Sagina saginoides	6567	Baja	4	33	99	9		
BORREG-004-000033-000000100	07/07/2009	Trifolium repens	8049	Baja	4	33	100	9		
BORREG-004-000033-000000101	07/07/2009	Trifolium pratense	8048	Baja	4	33	101	64		
BORREG-004-000034-000000102	13/07/2009	Carex	11634	Baja	4	34	102	39		
BORREG-004-000034-000000105	13/07/2009	Euphrasia willkommii	104449	Baja	4	34	105	59		
BORREG-004-000034-000000106	13/07/2009	Scorzoneroides	113237	Baja	4	34	106	3		
BORREG-004-000034-000000107	13/07/2009	Lotus corniculatus subsp. glacialis	106378	Baja	4	34	107	1		
BORREG-004-000034-000000108	13/07/2009	Nardus stricta	29746	Baja	4	34	108	12		
BORREG-004-000034-000000109	13/07/2009	Trifolium pratense	8048	Baja	4	34	109	79		
BORREG-004-000035-000000110	28/07/2009	Euphrasia willkommii	104449	Baja	4	35	110	6		
BORREG-004-000035-000000111	28/07/2009	Gentiana pneumonanthe subsp. depressa	104837	Baja	4	35	111	1		
BORREG-004-000035-000000112	28/07/2009	Trifolium pratense	8048	Baja	4	35	112	14		
BORREG-004-000037-000000116	11/08/2009	Euphrasia willkommii	104449	Baja	4	37	116	14		
BORREG-005-000041-000000117	08/06/2009	Cerastium alpinum subsp. aquaticum	6520	Baja	5	41	117	1		
BORREG-005-000041-000000118	08/06/2009	Nardus stricta	29746	Baja	5	41	118	29		
BORREG-005-000041-000000119	08/06/2009	Ranunculus	5820	Baja	5	41	119	5		
BORREG-005-000042-000000122	22/06/2009	Poaceae	1911	Baja	5	42	122	24		
BORREG-005-000042-000000123	22/06/2009	Nardus stricta	29746	Baja	5	42	123	92		
BORREG-005-000042-000000124	22/06/2009	Ranunculus demissus	5838	Baja	5	42	124	16		
BORREG-005-000043-000000125	06/07/2009	Cerastium	6518	Baja	5	43	125	1		
BORREG-005-000043-000000126	06/07/2009	Festuca iberica	11772	Baja	5	43	126	5		
BORREG-005-000043-000000127	06/07/2009	Nardus stricta	29746	Baja	5	43	127	2		
BORREG-005-000043-000000128	06/07/2009	Ranunculus demissus	5838	Baja	5	43	128	3		
BORREG-005-000043-000000129	06/07/2009	Trifolium repens	8049	Baja	5	43	129	48		
BORREG-005-000043-000000130	06/07/2009	Trifolium pratense	8048	Baja	5	43	130	2		
BORREG-005-000044-000000131	13/07/2009	Agrostis canina subsp. granatensis	12061	Baja	5	44	131	1		
BORREG-005-000044-000000132	13/07/2009	Festuca iberica	11772	Baja	5	44	132	1		
BORREG-005-000044-000000133	13/07/2009	Nardus stricta	29746	Baja	5	44	133	3		
BORREG-005-000044-000000134	13/07/2009	Ranunculus demissus	5838	Baja	5	44	134	3		
BORREG-005-000044-000000135	13/07/2009	Trifolium repens	8049	Baja	5	44	135	75		
BORREG-005-000045-000000136	28/07/2009	Nardus stricta	29746	Baja	5	45	136	47		
BORREG-005-000045-000000137	28/07/2009	Trifolium repens	8049	Baja	5	45	137	8		
BORREG-005-000045-000000138	28/07/2009	Trifolium pratense	8048	Baja	5	45	138	2		
BORREG-005-000047-000000143	11/08/2009	Nardus stricta	29746	Baja	5	47	143	30		
BORREG-005-000047-000000144	11/08/2009	Trifolium repens	8049	Baja	5	47	144	14		
BORREG-006-000051-000000146	08/06/2009	Gentiana sierrae	9240	Baja	6	51	146	24		
BORREG-006-000051-000000147	08/06/2009	Scorzoneroides	113237	Baja	6	51	147	2		
BORREG-006-000051-000000148	08/06/2009	Carex nigra	11681	Baja	6	51	148	85		
BORREG-006-000051-000000149	08/06/2009	Ranunculus angustifolius var. uniflorus	5825	Baja	6	51	149	1		
BORREG-006-000051-000000150	08/06/2009	Ranunculus demissus	5838	Baja	6	51	150	1		
BORREG-006-000051-000000151	08/06/2009	Juncus effusus	11525	Baja	6	51	151	14		
BORREG-006-000051-000000152	08/06/2009	Carex nevadensis	11680	Baja	6	51	152	5		
BORREG-006-000052-000000154	22/06/2009	Luzula campestris	11557	Baja	6	52	154	11		
BORREG-006-000052-000000155	22/06/2009	Nardus stricta	29746	Baja	6	52	155	1		
BORREG-006-000052-000000156	22/06/2009	Ranunculus demissus	5838	Baja	6	52	156	1		
BORREG-006-000052-000000157	22/06/2009	Carex nigra	11681	Baja	6	52	157	70		
BORREG-006-000052-000000158	22/06/2009	Carex echinata	104418	Baja	6	52	158	78		
BORREG-006-000052-000000159	22/06/2009	Scorzoneroides	113237	Baja	6	52	159	39		
BORREG-006-000053-000000160	06/07/2009	Euphrasia willkommii	104449	Baja	6	53	160	1		
BORREG-006-000053-000000162	06/07/2009	Gentiana boryi	9235	Baja	6	53	162	3		
BORREG-006-000053-000000163	06/07/2009	Scorzoneroides	113237	Baja	6	53	163	4		
BORREG-006-000053-000000164	06/07/2009	Carex nigra	11681	Baja	6	53	164	38		
BORREG-006-000053-000000165	06/07/2009	Festuca iberica	11772	Baja	6	53	165	2		
