UTM_X,UTM_Y,ID_PARCELA,PARCELA,LONG,LAT,ELEVACION
466931,4103607,58,Cotaalta_V1,-3.372042,37.078154,2779
466905,4103595,59,Cotaalta_V2,-3.372334,37.078045,2779
466907,4103572,60,Cotaalta_V3,-3.372311,37.077837,2781
466947,4103610,25,Cotaalta1,-3.371862,37.078181,2779
466858,4103696,35,Cotaalta10,-3.372867,37.078953,2767
466928,4103551,26,Cotaalta2,-3.372073,37.077649,2783
466910,4103612,27,Cotaalta3,-3.372279,37.078198,2778
466845,4103702,28,Cotaalta4,-3.373014,37.079007,2766
466834,4103730,29,Cotaalta5,-3.373139,37.079259,2765
466928,4103539,30,Cotaalta6,-3.372073,37.077541,2785
466902,4103573,31,Cotaalta7,-3.372367,37.077846,2781
466909,4103580,32,Cotaalta8,-3.372288,37.07791,2782
466873,4103699,33,Cotaalta9,-3.372699,37.078981,2767
466228,4106626,57,Cotabaja_V1,-3.380087,37.105342,2194
466213,4106616,64,Cotabaja_V2,-3.380255,37.105251,2198
466198,4106602,65,Cotabaja_V3,-3.380424,37.105125,2201
466231,4106643,1,Cotabaja1,-3.380054,37.105495,2189
466185,4106624,10,Cotabaja10,-3.380571,37.105323,2199
466251,4106613,2,Cotabaja2,-3.379828,37.105226,2195
466237,4106623,3,Cotabaja3,-3.379986,37.105315,2194
466224,4106620,4,Cotabaja4,-3.380132,37.105288,2197
466227,4106591,5,Cotabaja5,-3.380097,37.105027,2203
466211,4106610,6,Cotabaja6,-3.380278,37.105197,2200
466207,4106591,7,Cotabaja7,-3.380322,37.105026,2204
466174,4106596,8,Cotabaja8,-3.380693,37.10507,2208
466186,4106603,9,Cotabaja9,-3.380559,37.105133,2204
466754,4104727,61,Cotamedia_V1,-3.374083,37.088243,2489
466849,4104742,62,Cotamedia_V2,-3.373015,37.088382,2500
466856,4104742,63,Cotamedia_V3,-3.372936,37.088382,2500
466770,4104573,11,Cotamedia1,-3.373896,37.086856,2530
466560,4104943,20,Cotamedia10,-3.376276,37.090183,2443
466561,4104943,21,Cotamedia11,-3.376264,37.090183,2443
466512,4105013,22,Cotamedia12,-3.376819,37.090813,2430
466512,4105013,23,Cotamedia13,-3.376819,37.090813,2430
466527,4105015,24,Cotamedia14,-3.37665,37.090831,2429
466758,4104710,12,Cotamedia2,-3.374037,37.08809,2493
466762,4104728,13,Cotamedia3,-3.373993,37.088253,2487
466780,4104728,14,Cotamedia4,-3.373791,37.088253,2485
466781,4104727,15,Cotamedia5,-3.373779,37.088244,2485
466847,4104728,16,Cotamedia6,-3.373037,37.088256,2499
466844,4104727,17,Cotamedia7,-3.37307,37.088246,2499
466850,4104727,18,Cotamedia8,-3.373003,37.088247,2501
466551,4104942,19,Cotamedia9,-3.376377,37.090174,2444
466564,4105030,38,RZ_1,-3.376234,37.090968,2418
466839,4104726,49,RZ_10,-3.373127,37.088237,2499
466843,4104726,50,RZ_11,-3.373082,37.088237,2499
466846,4104729,52,RZ_12,-3.373048,37.088265,2499
466849,4104732,53,RZ_13,-3.373014,37.088292,2500
466759,4104700,54,RZ_14,-3.374026,37.088,2496
466761,4104676,55,RZ_15,-3.374002,37.087784,2501
466763,4104606,56,RZ_16,-3.373976,37.087153,2522
466509,4105007,39,RZ_2,-3.376852,37.090758,2433
466519,4105007,40,RZ_3,-3.37674,37.090759,2432
466524,4105007,41,RZ_3 BIS,-3.376683,37.090759,2432
466531,4105009,42,RZ_4,-3.376605,37.090777,2430
466534,4105017,43,RZ_5,-3.376571,37.090849,2427
466769,4104728,44,RZ_6,-3.373914,37.088253,2486
466768,4104720,45,RZ_7,-3.373925,37.088181,2489
466772,4104720,46,RZ_7 BIS,-3.37388,37.088181,2489
466767,4104711,47,RZ_8,-3.373936,37.088099,2490
466837,4104728,48,RZ_9,-3.373149,37.088255,2497
